,state,year,count,asc,dsc,asc_deflators
177,guam,2009,1,1.0,1.0,1.0
178,guam,2010,1,1.0,1.0,1.0
179,guam,2011,1,1.0,1.0,1.0
180,guam,2012,1,1.0,1.0,1.0
181,guam,2013,1,1.0,1.0,1.0
182,hawaii,2000,14,1.0,1.0,1.0
183,hawaii,2001,14,1.0,1.0,1.0
184,hawaii,2002,14,1.0,1.0,1.0
185,hawaii,2003,14,1.0,1.0,1.0
186,hawaii,2004,14,1.0,1.0,1.0
187,hawaii,2005,14,1.0,1.0,1.0
188,hawaii,2006,14,1.0,1.0,1.0
189,hawaii,2007,14,1.0,1.0,1.0
190,hawaii,2008,14,1.0,1.0,1.0
191,hawaii,2009,14,1.0,1.0,1.0
192,hawaii,2010,14,1.0,1.0,1.0
193,hawaii,2011,14,1.0,1.0,1.0
194,hawaii,2012,14,1.0,1.0,1.0
195,hawaii,2013,14,1.0,1.0,1.0
196,idaho,2000,141,1.0,1.0,1.0
197,idaho,2001,141,1.0,0.9929577464788732,1.0
198,idaho,2002,142,1.0070921985815602,1.0,1.0070921985815602
199,idaho,2003,142,1.0,1.0,1.0070921985815602
200,idaho,2004,142,1.0,1.0,1.0070921985815602
201,idaho,2005,142,1.0,1.0,1.0070921985815602
202,idaho,2006,142,1.0,1.0,1.0070921985815602
203,idaho,2007,142,1.0,0.993006993006993,1.0070921985815602
204,idaho,2008,143,1.0070422535211268,0.9862068965517241,1.0141843971631204
205,idaho,2009,145,1.013986013986014,1.0,1.028368794326241
206,idaho,2010,145,1.0,1.0,1.028368794326241
207,idaho,2011,145,1.0,1.0,1.028368794326241
208,idaho,2012,145,1.0,1.0,1.028368794326241
209,idaho,2013,145,1.0,1.0,1.028368794326241
210,illinois,2000,948,1.0,1.0,1.0
211,illinois,2001,948,1.0,1.0,1.0
212,illinois,2002,948,1.0,1.0,1.0
213,illinois,2003,948,1.0,1.0,1.0
214,illinois,2004,948,1.0,1.0,1.0
215,illinois,2005,948,1.0,1.0,1.0
216,illinois,2006,948,1.0,1.0,1.0
217,illinois,2007,948,1.0,0.9968454258675079,1.0
218,illinois,2008,951,1.0031645569620253,0.9926931106471816,1.0031645569620253
219,illinois,2009,958,1.0073606729758149,0.9503968253968254,1.010548523206751
220,illinois,2010,1008,1.0521920668058455,0.9970326409495549,1.0632911392405064
221,illinois,2011,1011,1.0029761904761905,0.978702807357212,1.0664556962025318
222,illinois,2012,1033,1.0217606330365974,0.9904122722914669,1.089662447257384
223,illinois,2013,1043,1.009680542110358,1.0,1.100210970464135
224,indiana,2000,357,1.0,0.9972067039106145,1.0
225,indiana,2001,358,1.0028011204481793,0.9944444444444445,1.0028011204481793
226,indiana,2002,360,1.005586592178771,0.994475138121547,1.0084033613445378
227,indiana,2003,362,1.0055555555555555,0.9972451790633609,1.0140056022408963
228,indiana,2004,363,1.0027624309392265,1.0,1.0168067226890756
229,indiana,2005,363,1.0,1.0,1.0168067226890756
230,indiana,2006,363,1.0,0.9945205479452055,1.0168067226890756
231,indiana,2007,365,1.0055096418732783,0.9945504087193461,1.022408963585434
232,indiana,2008,367,1.0054794520547945,0.9892183288409704,1.0280112044817926
233,indiana,2009,371,1.0108991825613078,0.9973118279569892,1.0392156862745097
234,indiana,2010,372,1.0026954177897573,0.992,1.042016806722689
235,indiana,2011,375,1.0080645161290323,0.9946949602122016,1.0504201680672267
236,indiana,2012,377,1.0053333333333334,1.0,1.0560224089635852
237,indiana,2013,377,1.0,1.0,1.0560224089635852
238,iowa,2000,246,1.0,0.9919354838709677,1.0
239,iowa,2001,248,1.008130081300813,0.992,1.008130081300813
240,iowa,2002,250,1.0080645161290323,0.9960159362549801,1.0162601626016259
241,iowa,2003,251,1.004,1.0,1.0203252032520325
242,iowa,2004,251,1.0,1.0,1.0203252032520325
243,iowa,2005,251,1.0,1.0,1.0203252032520325
244,iowa,2006,251,1.0,0.9920948616600791,1.0203252032520325
245,iowa,2007,253,1.0079681274900398,1.0,1.0284552845528454
246,iowa,2008,253,1.0,0.9960629921259843,1.0284552845528454
247,iowa,2009,254,1.0039525691699605,0.9921875,1.032520325203252
